ID;Age;Sex;Group;T1P1;T1P2;T1P3;T1P4;T1P5;T1P6;T1P7;T1P8;T1P9;T1P10;T1P11;T1P12;T1P13;T1P14;T1P15;T1P16;T1P17;T1P18;T1P19;T1P20;T1P21;T1P22;T1P23;T1P24;T1P25;T1P26;T1P27;T1P28;T1P29;T1P30;T1P31;T1P32;T1P33;T2P1;T2P2;T2P3;T2P4;T2P5;T2P6;T2P7;T2P8;T2P9;T2P10;T2P11;T2P12;T2P13;T2P14;T2P15;T2P16;T2P17;T2P18;T2P19;T2P20;T2P21;T2P22;T2P23;T2P24;T2P25;T2P26;T2P27;T2P28;T2P29;T2P30;T2P31;T2P32;T2P33;T3P1;T3P2;T3P3;T3P4;T3P5;T3P6;T3P7;T3P8;T3P9;T3P10;T3P11;T3P12;T3P13;T3P14;T3P15;T3P16;T3P17;T3P18;T3P19;T3P20;T3P21;T3P22;T3P23;T3P24;T3P25;T3P26;T3P27;T3P28;T3P29;T3P30;T3P31;T3P32;T3P33
AFC18;48;0;UIB;3;5;5;5;3;3;1;2;5;5;4;2;5;1;4;5;4;1;5;5;1;5;3;5;1;2;4;3;4;1;5;1;3;1;5;3;4;3;2;2;3;4;4;2;4;2;2;2;5;3;2;5;3;4;4;2;2;1;3;1;1;2;3;5;1;5;2;5;4;5;4;5;4;1;3;4;4;3;5;4;3;0;4;4;5;5;2;4;2;4;1;2;2;3;3;2;3;3;1
AFM28;21;1;UIB;4;5;1;5;4;4;1;1;4;2;5;1;5;2;5;4;1;5;5;5;2;5;4;3;2;1;5;1;5;1;5;1;5;5;5;1;5;5;5;1;5;5;1;4;1;5;1;5;5;1;5;5;5;2;5;5;4;1;1;4;1;5;1;5;2;5;4;4;1;5;5;5;1;5;5;1;5;1;5;1;5;5;1;5;5;5;1;5;5;5;1;1;5;1;5;1;5;1;5
AGC21;28;0;UIB;5;5;4;5;1;4;2;5;5;3;5;5;5;5;4;3;1;1;2;2;3;5;1;3;1;1;4;5;4;5;5;2;2;3;4;3;5;1;5;2;5;5;1;4;5;5;2;4;3;1;1;4;5;3;5;1;2;1;1;4;5;4;5;4;1;3;4;4;5;4;1;5;2;5;4;2;5;5;4;2;4;4;4;1;2;4;4;4;1;4;2;1;5;4;4;5;4;1;2
AGH12;21;1;UIB;5;5;2;4;4;5;2;1;4;3;4;3;5;1;5;4;2;3;3;4;2;4;3;4;1;1;4;2;4;3;4;4;4;4;4;3;4;5;5;1;2;5;3;2;3;5;1;5;4;1;2;4;4;3;4;2;4;1;2;4;2;4;3;5;2;4;5;4;3;4;2;5;1;3;5;4;2;4;5;1;4;4;2;1;4;4;2;5;3;4;2;3;3;4;4;2;4;3;4
AHA27;24;0;UIB;5;3;3;4;4;4;2;1;4;3;3;2;4;3;5;4;1;3;4;4;3;3;4;4;2;1;5;3;5;1;5;1;5;4;4;2;4;3;4;0;3;4;4;3;2;4;2;5;4;2;2;4;5;2;4;3;2;2;1;4;3;5;2;4;2;4;4;4;3;4;3;4;2;3;4;2;3;2;4;2;4;4;2;1;3;4;2;4;2;3;2;2;4;4;4;2;5;1;4
ALK22;20;1;UIB;3;5;4;4;2;4;3;2;4;2;4;5;5;2;3;3;2;2;2;3;3;5;5;1;2;2;4;3;4;1;4;3;2;3;4;3;4;3;3;3;2;4;2;3;4;4;2;4;3;2;2;3;5;3;5;4;3;2;2;4;4;4;2;4;2;3;3;4;2;4;3;2;3;3;4;2;4;4;4;2;4;3;2;2;4;3;3;5;3;2;2;2;1;2;4;1;4;1;4
AMD13;20;0;UIB;5;5;2;5;1;5;3;2;5;1;5;4;5;1;5;5;2;2;3;5;1;5;1;3;1;1;4;5;5;2;5;4;5;5;5;5;5;2;5;1;4;5;1;4;3;5;1;5;4;1;1;4;5;3;4;1;4;1;1;4;5;5;2;4;3;4;5;5;3;5;3;5;1;3;5;1;4;4;5;1;5;5;1;2;4;5;2;5;2;0;1;1;5;5;5;1;5;2;5
APF10;31;0;UIB;2;5;2;5;4;4;4;1;5;4;1;5;3;2;5;5;2;4;4;4;5;4;3;4;4;5;4;3;4;4;3;5;4;4;5;2;4;1;4;4;2;3;3;2;5;4;1;3;4;2;2;4;3;1;4;1;2;4;5;2;4;3;4;2;4;3;2;5;5;4;2;2;4;3;4;4;2;5;3;4;2;4;2;2;3;2;2;4;1;2;2;4;2;4;3;3;2;4;2
COM17;26;0;UIB;5;5;3;5;1;5;1;2;5;1;5;1;5;2;5;5;3;1;5;5;1;3;4;5;1;1;5;3;5;2;5;1;5;5;5;4;5;1;5;1;1;5;5;5;1;5;5;5;5;1;1;3;4;1;3;1;1;1;1;5;1;5;1;5;1;4;5;5;2;4;1;4;1;3;5;1;5;1;5;1;3;5;2;1;3;1;1;3;1;2;1;1;5;3;5;1;5;1;5
COR17;26;0;UIB;2;3;3;3;4;4;3;2;4;3;3;4;5;2;3;4;2;3;4;4;3;3;2;2;3;2;3;2;3;4;4;4;4;3;2;2;3;3;0;3;3;3;3;4;0;2;4;3;3;3;3;3;3;0;3;3;3;2;0;3;4;3;3;3;2;2;4;3;2;3;3;4;3;3;4;3;4;4;4;3;3;4;0;3;0;4;4;3;4;3;3;3;3;0;3;4;0;3;3
DFC22;21;0;UIB;5;4;3;4;1;5;2;5;4;2;3;5;4;2;4;3;2;1;4;3;3;4;1;4;2;2;4;4;4;2;4;4;4;5;4;4;4;1;4;2;0;4;3;4;1;5;2;4;3;2;1;3;4;3;4;1;4;2;2;4;5;4;4;4;4;4;5;5;3;4;2;5;2;4;4;2;4;5;5;2;4;4;4;1;2;3;4;3;1;4;2;2;4;4;4;3;4;3;4
DGB04;25;1;UIB;3;5;3;5;4;4;2;1;5;2;3;2;4;2;4;5;3;4;5;5;1;5;4;3;2;1;5;3;4;1;5;1;4;3;5;4;5;4;3;3;3;5;3;4;4;4;1;4;5;3;3;3;4;1;5;3;3;2;2;5;5;4;1;4;1;4;3;5;3;5;3;3;3;2;5;2;3;3;5;1;3;5;2;3;5;3;3;5;3;3;1;2;3;3;4;1;5;3;4
EAN25;20;1;UIB;4;5;4;5;3;5;4;3;5;1;5;4;5;1;5;5;1;2;4;5;1;4;2;4;1;1;5;3;5;1;5;2;5;4;5;4;5;4;4;2;4;5;4;5;3;4;4;4;4;4;3;4;5;1;4;2;5;1;1;5;4;4;4;4;4;4;5;4;5;5;5;5;4;4;5;4;4;4;5;5;4;4;4;4;4;5;2;4;4;4;4;4;5;4;4;4;5;4;5
EGS06;21;1;UIB;3;5;2;5;2;4;1;1;5;2;2;1;5;1;4;5;2;2;4;4;1;4;3;3;1;1;4;4;4;1;4;2;4;3;5;3;5;4;4;2;2;5;3;4;2;4;2;4;5;3;2;4;4;1;4;3;4;1;2;4;3;4;1;4;2;4;3;4;3;5;3;4;2;2;5;3;3;2;4;2;4;5;2;2;5;4;1;5;3;4;2;3;4;3;4;2;4;3;4
